Variable,Long name,Standard name,Units
abs550aer,Ambient Aerosol Absorption Optical Thickness at 550nm,atmosphere_absorption_optical_thickness_due_to_ambient _aerosol_particles,Dimensionless
acabf,Surface Mass Balance Flux,land_ice_surface_specific_mass_balance_flux,kg m-2 s-1
acabfIs,Ice Sheet Surface Mass Balance Flux,land_ice_surface_specific_mass_balance_flux,kg m-2 s-1
aerasymbnd,Aerosol Level Asymmetry Parameter for Each Band,asymmetry_factor_of_ambient_aerosol_particles,Dimensionless
aeroptbnd,Aerosol Level Absorption Optical Thickness for Each Band,atmosphere_absorption_optical_thickness_due_to_ambient _aerosol_particles,Dimensionless
aerssabnd,Aerosol Level Single Scattering Albedo for Each Band,single_scattering_albedo_in_air_due_to_ambient_aerosol _particles,Dimensionless
agesno,Mean Age of Snow,age_of_surface_snow,day
agessc,Sea Water Age Since Surface Contact,sea_water_age_since_surface_contact,yr
airmass,Vertically Integrated Mass Content of Air in Layer,atmosphere_mass_of_air_per_unit_area,kg m-2
albc,Canopy Albedo,canopy_albedo,Dimensionless
albdiffbnd,Diffuse Surface Albedo for Each Band,surface_diffuse_shortwave_hemispherical_reflectance,Dimensionless
albdirbnd,Direct Surface Albedo for Each Band,surface_direct_shortwave_hemispherical_reflectance,Dimensionless
albisccp,ISCCP Mean Cloud Albedo,cloud_albedo,Dimensionless
albsn,Snow Albedo,surface_albedo,Dimensionless
aoanh,Northern Hemisphere Tracer Lifetime,tracer_lifetime,yr
aod550volso4,Aerosol Optical Depth at 550nm Due to Stratospheric Volcanic Aerosols,stratosphere_optical_thickness_due_to_volcanic_ambient _aerosol_particles,1.00E-09
arag,Aragonite Concentration,mole_concentration_of_aragonite_expressed_as_carbon_in _sea_water,mol m-3
aragos,Surface Aragonite Concentration,mole_concentration_of_aragonite_expressed_as_carbon_in _sea_water,mol m-3
areacella,Grid-Cell Area for Atmospheric Grid Variables,cell_area,m2
areacellg,Grid-Cell Area for Ice Sheet Variables,cell_area,m2
areacello,Grid-Cell Area for Ocean Variables,cell_area,m2
areacellr,Grid-Cell Area for River Model Variables,cell_area,m2
ares,Aerodynamic Resistance,aerodynamic_resistance,s m-1
bacc,Bacterial Carbon Concentration,mole_concentration_of_bacteria_expressed_as_carbon_in _sea_water,mol m-3
baccos,Surface Bacterial Carbon Concentration,mole_concentration_of_bacteria_expressed_as_carbon_in _sea_water,mol m-3
baresoilFrac,Bare Soil Percentage Area Coverage,area_fraction,%
basin,Region Selection Index,region,Dimensionless
bddtalk,Rate of Change of Alkalinity Due to Biological Activity,tendency_of_sea_water_alkalinity_expressed_as_mole _equivalent_due_to_biological_processes,mol m-3 s-1
bddtdic,Rate of Change of Dissolved Inorganic Carbon Due to Biological Activity,tendency_of_mole_concentration_of_dissolved_inorganic _carbon_in_sea_water_due_to_biological_processes,mol m-3 s-1
bddtdife,Rate of Change of Dissolved Inorganic Iron Due to Biological Activity,tendency_of_mole_concentration_of_dissolved_inorganic _iron_in_sea_water_due_to_biological_processes,mol m-3 s-1
bddtdin,Rate of Change of Nitrogen Nutrient Due to Biological Activity,tendency_of_mole_concentration_of_dissolved_inorganic _nitrogen_in_sea_water_due_to_biological_processes,mol m-3 s-1
bddtdip,Rate of Change of Dissolved Phosphorus Due to Biological Activity,tendency_of_mole_concentration_of_dissolved_inorganic _phosphorus_in_sea_water_due_to_biological_processes,mol m-3 s-1
bddtdisi,Rate of Change of Dissolved Inorganic Silicon Due to Biological Activity,tendency_of_mole_concentration_of_dissolved_inorganic _silicon_in_sea_water_due_to_biological_processes,mol m-3 s-1
bfe,Mole Concentration of Particulate Organic Matter Expressed as Iron in Sea Water,mole_concentration_of_particulate_organic_matter _expressed_as_iron_in_sea_water,mol m-3
bfeos,Surface Mole Concentration of Particulate Organic Matter Expressed as Iron in Sea Water,mole_concentration_of_particulate_organic_matter _expressed_as_iron_in_sea_water,mol m-3
bigthetao,Sea Water Conservative Temperature,sea_water_conservative_temperature,degC
bigthetaoga,Global Average Sea Water Conservative Temperature,sea_water_conservative_temperature,degC
bldep,Boundary Layer Depth,atmosphere_boundary_layer_thickness,m
bry,Total Inorganic Bromine Volume Mixing Ratio,mole_fraction_of_inorganic_bromine_in_air,mol mol-1
